"Vehicle Manufacturer","average_emission_emitted","Average city MPG","Average highway MPG","Combined MPG","Annual gas Consumption in Barrels","Tailpipe Emissions in g/mi","Annual Fuel Cost","Cost Savings for Gas over 5 Years"
"ACURA",2.291,21.1198180686416,28.2154727951787,23.6992182327476,14.1991977800855,382.423745220869,2131.84612582407,-3409.23062912034
"ALFA ROMEO",2.52016666666667,20,27.3541666666667,22.8333333333333,15.4788450066667,418.678952988889,2325,-4375
"ASTON MARTIN",2.09363636363636,13.4506632064591,19.9513552479815,15.7300749711649,21.302341866919,571.007625452033,3201.75749711649,-8758.78748558247
"AUDI",2.09169696969697,20.7743776476372,28.6174811844972,23.5843076568442,14.7755735927251,397.094463612333,2223.2797850775,-3829.67576154569
"BENTLEY",3.14255555555556,11.3369791666667,18.6598958333333,13.7690972222222,24.5219480527726,663.382915403507,3682.14409722222,-11160.7204861111
"BMW",1.13919047619048,22.8340003825213,29.5731719270512,25.1823513078838,14.5788297506591,391.61122300561,2246.44224746405,-3837.25593719255
"BUGATTI",1.54366666666667,8.5,14.4166666666667,10.5,31.462772725,853.925,4725,-16375
"BUICK",4.93175,20.3078292015474,28.4830327896966,23.3535310661796,14.4069449317865,388.392526727336,1796.63206770592,-1733.16033852961
"CADILLAC",3.42230769230769,17.2518567709728,24.0824290715981,19.6844715495002,16.9903708592657,456.857700526152,2275.94115301257,-3966.58519768699
"CHEVROLET",3.49754647887324,20.2896144422352,26.3211561148595,22.4467025861157,17.0110709119291,457.598474922175,2094.5054485916,-3207.56997800072
"CHRYSLER",1.74151515151515,18.2486491390584,25.8649698175274,20.9517455027685,15.826375914377,426.240636207769,2002.6844209357,-2675.18681056085
"DODGE",2.61857142857143,16.3537094001339,23.8346450331576,18.8816435350474,18.0746747225723,485.410858953721,2376.87032155711,-4634.35160778553
"FERRARI",1.314875,12.8068965517241,17.6350574712644,14.4548850574713,23.254488790158,625.728030089598,3488.40517241379,-10192.025862069
"FIAT",3.31666666666667,35.507992007992,40.0741480741481,37.0824730824731,10.7485954959414,288.049047124569,1568.93962518963,-594.698125948124
"FORD",2.23107594936709,20.434013400107,25.5450393678419,22.3073002176218,16.2523124450059,438.134618227249,2005.78262715149,-2750.06698191129
"GENESIS",2.185,17.3083333333333,25.180303030303,20.2873737373737,16.3638974175,446.26755050505,2408.10606060606,-4790.5303030303
"GMC",3.50608695652174,14.8672194527813,20.0041657303912,16.6971770766296,20.3177385306035,545.822876471452,2469.78971281563,-5098.94856407816
"HONDA",1.7226641509434,30.2349003457664,35.258899789571,31.9948788602883,11.306232580719,314.23191910678,1494.08454019517,-184.708415261555
"HUMMER",6.75666666666667,13.6666666666667,17.3333333333333,15.1666666666667,21.8105029766667,588.05843255,2641.66666666667,-5958.33333333333
"HYUNDAI",2.41558636363636,27.1676239668712,32.7275997527592,29.2154537480968,13.0939066949715,355.016010753703,1645.54441683499,-954.645161098022
"INFINITI",2.84831052631579,18.7411418002967,25.4258876491271,21.1099577261549,16.0589781958835,432.526829693117,2405.62376785968,-4778.11883929842
"ISUZU",0.055,14,20,16,20.600625,555.4375,2500,-5250
"JAGUAR",1.64846153846154,19.402901562723,26.910363148756,22.0153884805671,15.8392388796842,426.207965678364,2385.95606774178,-4679.78033870891
"JEEP",4.43,17.9022737329612,23.8595981435567,20.0359851832191,17.3399479094985,465.681355328217,2251.43588023839,-4007.17940119195
"KARMA",2.365,19.5,21,20,5.9032155645,153.5,2500,-500
"KIA",2.67909705882353,28.5387088934794,33.059130626052,30.0682219822661,12.5439070497664,339.394327706635,1581.36638784395,-628.081939219727
"KOENIGSEGG",3.045,11,18,13,25.35461538,654,3800,-11750
"LAMBORGHINI",2.72754545454545,11.0978395061728,17.1149691358025,13.2158950617284,25.4780997880864,686.550068912346,3820.16975308642,-11850.8487654321
"LAND ROVER",2.07,17.9073059964727,23.8877248677249,20.0954453262787,17.2195134372303,463.643293893492,2525.55930335097,-5377.79651675485
"LEXUS",1.61970588235294,21.8342911516825,27.8389338519773,24.0248598824686,14.4766734254731,389.270982631288,2105.29463893594,-3276.47319467972
"LINCOLN",2.28645625,17.7609919650242,24.2012406947891,20.0859092520383,17.0700970040774,460.182740020678,2065.54885974241,-3077.74429871204
