"Vehicle Manufacturer","Vehicle Model","Emission_Emitted","Average.city.MPG","Average.highway.MPG","Combined.MPG","Annual.gas.Consumption.in.Barrels","Tailpipe.Emissions.in.g.mi","Annual.Fuel.Cost","Cost.Savings.for.Gas.over.5.Years"
"ACURA","ILX",1.83,23.7272727272727,33.4545454545455,27.2727272727273,12.1256089909091,326.909090909091,1822.72727272727,-1863.63636363636
"ACURA","ILX HYBRID",3.12,38,38,38,8.673947368,228,1300,750
"ACURA","MDX 4WD",3.69,16.8888888888889,23.3333333333333,19.3333333333333,17.1894339788889,462.881263611111,2577.77777777778,-5638.88888888889
"ACURA","MDX AWD",0.917,18.6666666666667,26,21.6666666666667,15.2200865833333,410.666666666667,2283.33333333333,-4166.66666666667
"ACURA","RDX AWD",0.77,20,27,22.5,14.65657115,393.5,2200,-3750
"ACURA","RDX AWD A-SPEC",0.72,21,26,23,14.33086957,385,2150,-3500
"ACURA","RL",4.06,16.5,23,19,17.396083335,469.0361111,2625,-5875
"ACURA","RLX",1.28,20,29.5714285714286,23,14.33086957,381.428571428571,2150,-3500
"ACURA","RLX HYBRID",1.31,28.1666666666667,29.8333333333333,28.8333333333333,11.4425365333333,309.666666666667,1708.33333333333,-1291.66666666667
"ACURA","TL 2WD",2.88,19,27.5,22,15.01329193,404.32712215,2250,-4000
"ACURA","TL 4WD",2.06,17.6363636363636,24.8181818181818,20.2727272727273,16.2664675336364,437.753679654545,2459.09090909091,-5045.45454545455
"ACURA","TLX",4.36,22.5,34.5,26.5,12.478092855,339.5,1875,-2125
"ACURA","TSX",1.15,20.4705882352941,29.1176470588235,23.5882352941176,14.0192908441176,376.375618188235,2108.82352941176,-3294.11764705882
"ACURA","ZDX 4WD",4.62,16,23,19,17.34789474,471.302631575,2600,-5750
"ALFA ROMEO","4C",1.75,24,34,28,11.77178571,317,1750,-1500
"ALFA ROMEO","GIULIA",2.11,20.5,28.625,23.5,14.34413889,388.625,2175,-3625
"ALFA ROMEO","GIULIA AWD",4.57,23,31,26,12.67730769,348,1900,-2250
"ALFA ROMEO","STELVIO AWD",2.53,19.5,25.5,21.5,15.54082237,415.833333333333,2325,-4375
"ASTON MARTIN","DB11 V8",0.7,18,24,20,16.4805,431,2500,-5250
"ASTON MARTIN","DB9",3.8,12.25,18.5833333333333,14.25,23.2316694125,623.7206044,3487.5,-10187.5
"ASTON MARTIN","DBS",1.6,12.125,18.625,14.375,23.18402593625,624.9004120875,3481.25,-10156.25
"ASTON MARTIN","V12 VANTAGE S",1.7,11.5,17.5,13.5,24.5245535725,649,3687.5,-11187.5
"ASTON MARTIN","V8 VANTAGE",2.41,13.3529411764706,19.7647058823529,15.3529411764706,21.5123613447059,575.571848747059,3235.29411764706,-8926.47058823529
"ASTON MARTIN","V8 VANTAGE",3.5,13.3529411764706,19.7647058823529,15.3529411764706,21.5123613447059,575.571848747059,3235.29411764706,-8926.47058823529
"ASTON MARTIN","V8 VANTAGE S",2.8,13.6,20.2,15.6,21.149975,562.6875,3180,-8650
"AUDI","A3",2.41,24.3809523809524,32.6666666666667,27.3333333333333,12.6443018190476,340.06349207619,1726.19047619048,-1380.95238095238
"AUDI","A3 E-TRON",0.44,33.3333333333333,37.3333333333333,35,5.811559666,155.333333333333,1416.66666666667,1333.33333333333
"AUDI","A4",2.15,23.7,31.1,26.4,12.522899425,336.92476923,1885,-2175
"AUDI","A5 QUATTRO",2.95,21,30.2173913043478,24.3478260869565,13.6354302082609,366.187178865217,2050,-3000
"AUDI","A6 QUATTRO",0.86,20.2,29.32,23.48,14.5225917884,389.908290424,2136,-3430
"AUDI","A6 QUATTRO",1.63,20.2,29.32,23.48,14.5225917884,389.908290424,2136,-3430
"AUDI","A8",1.48,17.4,27.2,20.6,16.076216454,431.78253968,2410,-4800
"AUDI","A8 L",3.06,17.2592592592593,26.6666666666667,20.2592592592593,17.0002012096296,454.989983833333,2507.40740740741,-5287.03703703704
"AUDI","Q3",2.85,20,28,23,14.33086957,388.25,2150,-3500
"AUDI","Q5",3.08,19.9130434782609,26.5652173913043,22.304347826087,15.1459791030435,407.361264826087,2223.91304347826,-3869.5652173913
"AUDI","Q5 HYBRID",1.63,24,30,26,12.67730769,337,1900,-2250
"AUDI","Q7",6.53,17,23.1363636363636,19.3181818181818,18.1237074490909,486.5114899,2547.72727272727,-5488.63636363636
"AUDI","Q8",1.15,17,22,19,17.34789474,474,2600,-5750
"AUDI","R8",3.015,12.4782608695652,20.0869565217391,15.1304347826087,21.8841811752174,588.770522786956,3291.30434782609,-9206.52173913043
"AUDI","S4",2.02,18.125,27.5625,21.125,15.64666518125,418.258928575,2350,-4500
"AUDI","S8",2.01,14.7142857142857,24.4285714285714,17.8571428571429,18.5732619071429,499.780952385714,2792.85714285714,-6714.28571428571
"AUDI","SQ5",2.07,17.5,23.8333333333333,19.6666666666667,16.7971679233333,452.833333333333,2516.66666666667,-5333.33333333333
"AUDI","TT COUPE QUATTRO",2.07,21.6428571428571,29.5714285714286,24.8571428571429,13.3715412071429,359.778479857143,1882.14285714286,-2160.71428571429
"AUDI","TT RS",2.08,19.5,28.5,22.5,14.65657115,391.5,2200,-3750
"BENTLEY","ARNAGE",2.54,10,14,11,29.96454545,807.9090909,4500,-15250
"BENTLEY","BENTAYGA",1.42,13,21,16,20.681411765,552,3100,-8250
"BENTLEY","CONTINENTAL GT",4.87,12.8666666666667,21.7333333333333,15.8666666666667,21.104840114,565.134432233333,3170,-8600
"BENTLEY","CONTINENTAL GTC",2.96,11.5555555555556,19.6666666666667,14.3333333333333,23.3447117,635.618640611111,3500,-10250
"BENTLEY","CONTINENTAL SUPERSPORTS",3.205,11.75,19.25,14,23.54357143,637.089285725,3550,-10500
"BENTLEY","FLYING SPUR",0.66,12.5555555555556,21.5555555555556,15.3333333333333,21.65726459,584.666666666667,3255.55555555556,-9027.77777777778
"BENTLEY","MULSANNE",4.47,10.8888888888889,17.7777777777778,13.2222222222222,24.9856990211111,681.8034188,3750,-11500
"BMW","128I",0.21,18.2,27.9,21.7,15.196305198,409.11082254,2280,-4150
"BMW","328D XDRIVE SPORTS WAGON",0.08,30.4,40.4,34,11.24073529,298.8,1350,500
"BMW","328I XDRIVE",0.68,19.1,27.9,22.4,14.959223076,402.01,2260,-4050
"BMW","330E",0.49,28,34.6666666666667,30.3333333333333,6.66287795,187.333333333333,1633.33333333333,416.666666666667
"BMW","335D",0.14,23,35.6666666666667,27,14.155,377.037037,1700,-1250
"BMW","335I XDRIVE",0.25,18.5833333333333,27.1666666666667,21.6666666666667,15.3199330283333,413.962886383333,2300,-4250
"BMW","335IS CONVERTIBLE",0.26,17.5,24.5,20,16.521804515,444.475772766667,2475,-5125
"BMW","428I XDRIVE CONVERTIBLE",0.8,21,32,25,13.1844,357.333333333333,2000,-2750
"BMW","430I XDRIVE CONVERTIBLE",0.46,22,32,26,12.67730769,343.5,1900,-2250
"BMW","440I XDRIVE CONVERTIBLE",0.46,20,29,23.25,14.1815896775,383.25,2125,-3375
"BMW","530E XDRIVE",0.56,25.6666666666667,30.3333333333333,27,7.37263983,197.666666666667,1833.33333333333,-166.666666666667
"BMW","535D XDRIVE",0.06,26,36.6666666666667,29.6666666666667,12.8859310333333,340.333333333333,1566.66666666667,-583.333333333333
"BMW","535I GRAN TURISMO",1.2,19.25,28,22.5,14.6701420475,396.6500947125,2200,-3750
"BMW","535I XDRIVE GRAN TURISMO",0.78,18,26.2857142857143,21,15.69571429,422.625850342857,2350,-4500
"BMW","540D XDRIVE",0.12,26,36,30,12.7395,341,1550,-500
"BMW","540I XDRIVE",0.24,20.75,29,23.75,13.894972285,372.5,2087.5,-3187.5
"BMW","550I XDRIVE GRAN TURISMO",3.32,15.5,22.8333333333333,18.3333333333333,18.0093068483333,486.914488016667,2700,-6250
"BMW","640I XDRIVE GRAN TURISMO",1,20,28,23,14.33086957,388,2150,-3500
"BMW","740E XDRIVE",0.89,25,29,27,8.009330414,214,1850,-500
"BMW","740I",0.53,19.7,27.9,22.6,14.657656819,393.47,2200,-3750
"BMW","740I XDRIVE",1.26,19.75,28.5,22.75,14.49372036,389,2175,-3625
"BMW","740LD XDRIVE",0.08,23,31,26,14.69942308,387,1800,-1750
"BMW","740LI",0.49,18.2,26.8,21.2,15.581563638,416.94,2350,-4500
"BMW","745E XDRIVE",1.05,19,26,22,9.356110733,245,2250,-2000
"BMW","750I",1.05,16.3636363636364,24,18.9090909090909,17.5455821045455,473.187165781818,2640.90909090909,-5954.54545454545
"BMW","750I XDRIVE",0.7,15.6363636363636,23.2727272727273,18.3636363636364,18.0772948581818,487.664772727273,2718.18181818182,-6340.90909090909
"BMW","750LI",1.7,14,21,17,19.38882353,522.7647059,2900,-7250
"BMW","750LI",1.7,15,22.6666666666667,18,18.368359135,496.049019616667,2750,-6500
"BMW","760LI",1.07,13,19.5,15,21.974,588.23333335,3300,-9250
"BMW","ACTIVEHYBRID 3",1.97,25,32,28,11.77178571,317.666666666667,1750,-1500
"BMW","ACTIVEHYBRID 5",0.86,23,30,26,12.67730769,345.16153846,1900,-2250
"BMW","ACTIVEHYBRID 7",0.53,17,24,20,16.4805,444.35,2500,-5250
"BMW","ACTIVEHYBRID X6",2.35,17,19,18,18.31166667,493.7222222,2750,-6500
"BMW","ALPINA B7 LWB XDRIVE",1.45,15.2,22.4,17.8,18.648986844,505.975,2800,-6750
"BMW","ALPINA B7 XDRIVE",1.73,16.3333333333333,24.6666666666667,19,17.38002047,464,2616.66666666667,-5833.33333333333
"BMW","I3 REX",4.35,41,37,39,1.563190372,39,1250,3750
"BMW","I8",1.39,28,29,28,7.356357782,198.25,1750,250
"BMW","I8 ROADSTER",1.37,26,29,27,7.13476556,191,1850,0
"BMW","M240I XDRIVE CONVERTIBLE",0.53,21.25,30.25,24.5,13.459075,361.5,2025,-2875
"BMW","M3",0.37,16,23.25,18.4166666666667,18.070723685,483.8125,2725,-6375
"BMW","M3 CONVERTIBLE",1.92,13.8,20,16,20.600625,556.85,3100,-8250
"BMW","M4 CONVERTIBLE",0.94,16.75,24.25,19.5,16.91419737,457,2550,-5500
"BMW","M4 COUPE",0.67,17.1666666666667,24.5833333333333,19.5833333333333,16.841914475,450.416666666667,2541.66666666667,-5458.33333333333
"BMW","M4 GTS",0.6,16,23,19,17.34789474,477,2600,-5750
