"Represented.Test.Vehicle.Make","Represented.Test.Vehicle.Model","Emission_Emitted"
"A123 SYSTEMS","Hymotion PHEV Prius",0.06
"ACURA","ILX",1.83
"ACURA","ILX HYBRID",3.12
"ACURA","MDX 4WD",3.69
"ACURA","MDX AWD",0.917
"ACURA","NSX",0.92
"ACURA","RDX AWD",0.77
"ACURA","RDX AWD A-SPEC",0.72
"ACURA","RDX BASE/TECH",1.1
"ACURA","RL",4.06
"ACURA","RLX",1.28
"ACURA","RLX HYBRID",1.31
"ACURA","TL 2WD",2.88
"ACURA","TL 4WD",2.06
"ACURA","TLX",4.36
"ACURA","TSX",1.15
"ACURA","TSX Premium",4.16
"ACURA","ZDX 4WD",4.62
"ALFA ROMEO","4C",1.75
"ALFA ROMEO","8C Competizione",0.781
"ALFA ROMEO","8C Spider",3.38
"ALFA ROMEO","Giulia",2.11
"ALFA ROMEO","Giulia AWD",4.57
"ALFA ROMEO","Stelvio AWD",2.53
"ASTON MARTIN","DB11",3.2
"ASTON MARTIN","DB11 V8",0.7
"ASTON MARTIN","DB9",3.8
"ASTON MARTIN","DBS",1.6
"ASTON MARTIN","one77",1.33
"ASTON MARTIN","Taraf",1.12
"ASTON MARTIN","V12 Vantage S",1.7
"ASTON MARTIN","V8 Vantage",3.5
"ASTON MARTIN","V8 VANTAGE",2.41
"ASTON MARTIN","V8 VANTAGE S",2.8
"ASTON MARTIN","Zagato",0.87
"AUDI","A3",2.41
"AUDI","A3 e-tron",0.44
"AUDI","A4",2.15
"AUDI","A4 Allroad",0.533
"AUDI","A5",1.28
"AUDI","A5 quattro",2.95
"AUDI","A6 quattro",1.63
"AUDI","A6 QUATTRO",0.86
"AUDI","A6 Quattro (C8)",0.587
"AUDI","A7",0.438
"AUDI","A8",1.48
"AUDI","A8 L",3.06
"AUDI","A8L",2.77
"AUDI","Audi A6",0.9
"AUDI","Audi A8 W12",1.64
"AUDI","e-tron 55 quattro",0
"AUDI","EOS",2.24
"AUDI","Q3",2.85
"AUDI","Q5",3.08
"AUDI","Q5 Hybrid",1.63
"AUDI","Q7",6.53
"AUDI","Q8",1.15
"AUDI","R8",3.015
"AUDI","RS3",1.803
"AUDI","RS4 CABRIOLET",3.81
"AUDI","RS5",2.3
"AUDI","S4",2.02
"AUDI","S8",2.01
"AUDI","SQ5",2.07
"AUDI","TIGUAN 4MOTION",4.35
"AUDI","TT COUPE QUATTRO",2.07
"AUDI","TT RS",2.08
"AUDI","TTRS",2.89
"BAYTECH CORPORATION","G2500 EXPRESS CONV 2WD CARGO",0.43
"BAYTECH CORPORATION","K3500 SIERRA 4WD  Pick-up",0.82
"BENTLEY","Arnage",2.54
"BENTLEY","Bentayga",1.42
"BENTLEY","Continental GT",4.87
"BENTLEY","Continental GT Supersports",3.528
"BENTLEY","CONTINENTAL GTC",2.96
"BENTLEY","Continental Supersports",3.205
"BENTLEY","Flying Spur",0.66
"BENTLEY","Mulsanne",4.47
"BENTLEY","Mulsanne Speed",4.63
"BMW","128i",0.21
"BMW","2006 BMW M3",0.86
"BMW","328 Ci Convertible",0.37
"BMW","328d xDrive Sports Wagon",0.08
"BMW","328i xDrive",0.68
"BMW","330 XI",1.6
"BMW","330e",0.49
"BMW","335d",0.14
"BMW","335i xDrive",0.25
"BMW","335is Convertible",0.26
"BMW","428i xDrive Convertible",0.8
"BMW","430i xDrive Convertible",0.46
"BMW","440i xDrive Convertible",0.46
"BMW","530e xDrive",0.56
"BMW","535d xDrive",0.06
"BMW","535i Gran Turismo",1.2
"BMW","535i xDrive Gran Turismo",0.78
"BMW","535xi sport wagon",0.27
"BMW","540d xDrive",0.12
"BMW","540i xDrive",0.24
"BMW","550i xDrive Gran Turismo",3.32
"BMW","640i xDrive Gran Turismo",1
"BMW","740e xDrive",0.89
"BMW","740i",0.53
"BMW","740i xDrive",1.26
"BMW","740Ld xDrive",0.08
"BMW","740Li",0.49
"BMW","745e xDrive",1.05
"BMW","750i",1.05
"BMW","750i xDrive",0.7
"BMW","750Li",1.7
"BMW","760Li",1.07
"BMW","ActiveHybrid 3",1.97
"BMW","ActiveHybrid 5",0.86
"BMW","ActiveHybrid 7",0.53
"BMW","ActiveHybrid 7 L",1.88
"BMW","ActiveHybrid X6",2.35
"BMW","Alpina B7 LWB xDrive",1.45
"BMW","Alpina B7 xDrive",1.73
"BMW","I3 REX",4.35
"BMW","I3s REX",1.01
"BMW","I8",1.39
"BMW","I8 Roadster",1.37
"BMW","M240i xDrive Convertible",0.53
"BMW","M240i xRive Convertible",0.51
"BMW","M3",0.37
"BMW","M3 Convertible",1.92
"BMW","M3 CRT",0.31
"BMW","M4 Convertible",0.94
"BMW","M4 Coupe",0.67
"BMW","M4 GTS",0.6
"BMW","M5",0.34
"BMW","M6 Convertible",1.53
"BMW","M760i xDrive",1.79
"BMW","X1 xDrive28i",4.75
"BMW","X2 xDrive 28i",1.15
"BMW","X3 M",0.26
"BMW","X3 xDrive 28d",0.05
"BMW","X3 xDrive28i",1.8
"BMW","X3 xDrive30i",1.63
"BMW","X3 xDrive35i",1.37
"BMW","X4 M40i",0.93
"BMW","X4 xDrive 28i",2.28
"BMW","X4 xDrive30i",0.65
"BMW","X4 xDrive35i",2.01
"BMW","X5 M",1.18
"BMW","X5 xDrive 35d",0.05
"BMW","X5 xDrive 50i",2.18
"BMW","X5 xDrive30i",2.83
"BMW","X5 xDrive35d",0.12
"BMW","X5 xDrive35i",2.48
"BMW","X5 xDrive40e",3.6
"BMW","X5 xDrive48i",3.59
"BMW","X5 xDrive50i",1.84
"BMW","X5 xDriveM",1.58
"BMW","X6 xDrive 35i",0.87
"BMW","X6 xDrive 50i",1.08
"BMW","X6 xDrive35i",0.34
"BMW","X6 xDrive50i",1.542
"BMW","X7 M50i",1.09
"BMW","X7 xDrive40i",0.54
"BMW","X7 xDrive50i",0.86
"BMW","Z4",0.36
"BMW","Z4 sDrive35is",1.25
"BUGATTI","Bugatti Chiron",3.44
"BUGATTI","Veyron",0.351
"BUGATTI","Veyron Super Sport",0.84
"BUICK","4HP69",2.99
"BUICK","CASCADA",7.84
"BUICK","ENCLAVE AWD",6.18
"BUICK","ENCORE AWD",5.1528
"BUICK","ENVISION AWD",3.94
"BUICK","LACROSSE",5.61
"BUICK","LACROSSE AWD",2.7
"BUICK","REGAL",3.59
"BUICK","REGAL AWD",1.9447
"BUICK","TR14526",9.37
"CADILLAC","6C10706",2.8
"CADILLAC","6DE26",2.99
"CADILLAC","6DM69",1.69
"CADILLAC","6DN69",7.98
"CADILLAC","6KJ69",2.73
"CADILLAC","6NG26",2.76
"CADILLAC","6NL26",3.8
"CADILLAC","ATS-V",1.98
"CADILLAC","CT5 AWD",3.8
"CADILLAC","CT6",1.24
"CADILLAC","CT6 AWD",1.82
"CADILLAC","CT6 HYBRID",4.07
"CADILLAC","CTS-V",1.7
"CADILLAC","CTS AWD",2.95
"CADILLAC","CTS SEDAN AWD",2.55
"CADILLAC","CTS WAGON",7.51
"CADILLAC","ELR",2.83
"CADILLAC","Escalade",0.54
"CADILLAC","SRX 2WD",5.1
"CADILLAC","SRX AWD",4.12
"CADILLAC","TC10706",6.16
"CADILLAC","XT4 AWD",0.98
"CADILLAC","XT5 AWD",4.2
"CADILLAC","XTS",2.9
"CADILLAC","XTS AWD",5.13
"CADILLAC","XTS HEARSE",4.65
"CHEVROLET","1AL69",3.71
"CHEVROLET","1AU46",2.39
"CHEVROLET","1ES37",9.75
"CHEVROLET","1TD48",8.02
"CHEVROLET","1YY07",6.4
"CHEVROLET","1YY87",7.59
"CHEVROLET","1ZF69",6.34
"CHEVROLET","1ZK69",5.13
