"make","model","Number of Models in Data","Average city MPG","Average highway MPG","Combined MPG","Annual gas Consumption in Barrels","Tailpipe Emissions in g/mi","Annual Fuel Cost","Cost Savings for Gas over 5 Years"
"Acura","ILX",11,23.7272727272727,33.4545454545455,27.2727272727273,12.1256089909091,326.909090909091,1822.72727272727,-1863.63636363636
"Acura","ILX Hybrid",2,38,38,38,8.673947368,228,1300,750
"Acura","MDX 2WD",4,19.75,27.5,22.75,14.49372036,394.25,2175,-3625
"Acura","MDX 4WD",9,16.8888888888889,23.3333333333333,19.3333333333333,17.1894339788889,462.881263611111,2577.77777777778,-5638.88888888889
"Acura","MDX AWD",6,18.6666666666667,26,21.6666666666667,15.2200865833333,410.666666666667,2283.33333333333,-4166.66666666667
"Acura","MDX AWD A-SPEC",2,19,25,21,15.69571429,415,2350,-4500
"Acura","MDX FWD",6,19.6666666666667,27,22.6666666666667,14.5480039566667,393.833333333333,2183.33333333333,-3666.66666666667
"Acura","MDX Hybrid AWD",4,26,27,27,12.20777778,330.5,1850,-2000
"Acura","NSX Hybrid",4,21,22,21,15.69571429,420,2350,-4500
"Acura","RDX 2WD",7,19.5714285714286,26.2857142857143,22.1428571428571,14.9158030214286,402.367346942857,2235.71428571429,-3928.57142857143
"Acura","RDX 4WD",8,18,24.5,20.5,16.165083735,434.49342105,2425,-4875
"Acura","RDX AWD",4,20,27,22.5,14.65657115,393.5,2200,-3750
"Acura","RDX AWD A-SPEC",2,21,26,23,14.33086957,385,2150,-3500
"Acura","RDX FWD",4,21,28,23.5,14.032309785,378,2100,-3250
"Acura","RDX FWD A-SPEC",2,22,27,24,13.73375,374,2050,-3000
"Acura","RL",4,16.5,23,19,17.396083335,469.0361111,2625,-5875
"Acura","RLX",7,20,29.5714285714286,23,14.33086957,381.428571428571,2150,-3500
"Acura","RLX Hybrid",6,28.1666666666667,29.8333333333333,28.8333333333333,11.4425365333333,309.666666666667,1708.33333333333,-1291.66666666667
"Acura","TL 2WD",6,19,27.5,22,15.01329193,404.32712215,2250,-4000
"Acura","TL 4WD",11,17.6363636363636,24.8181818181818,20.2727272727273,16.2664675336364,437.753679654545,2459.09090909091,-5045.45454545455
"Acura","TLX",2,22.5,34.5,26.5,12.478092855,339.5,1875,-2125
"Acura","TLX 2WD",2,22.5,34.5,26.5,12.478092855,339.5,1875,-2125
"Acura","TLX 4WD",1,21,31,25,13.1844,360,2000,-2750
"Acura","TLX AWD",5,20.6,30,24,13.752857828,370,2070,-3100
"Acura","TLX AWD A-SPEC",3,20,29,23,14.33086957,387,2150,-3500
"Acura","TLX FWD",8,21.75,32.75,25.75,12.84759613125,348.375,1931.25,-2406.25
"Acura","TLX FWD A-SPEC",5,21.2,30.8,24.2,13.669444818,363.4,2050,-3000
"Acura","TSX",17,20.4705882352941,29.1176470588235,23.5882352941176,14.0192908441176,376.375618188235,2108.82352941176,-3294.11764705882
"Acura","TSX Wagon",4,22,29,24,13.73375,365.64583335,2050,-3000
"Acura","ZDX 4WD",4,16,23,19,17.34789474,471.302631575,2600,-5750
"Alfa Romeo","4C",6,24,34,28,11.77178571,317,1750,-1500
"Alfa Romeo","8 C Spider",1,11,16,13,25.35461538,683.6153846,3800,-11750
"Alfa Romeo","Giulia",8,20.5,28.625,23.5,14.34413889,388.625,2175,-3625
"Alfa Romeo","Giulia AWD",4,23,31,26,12.67730769,348,1900,-2250
"Alfa Romeo","Stelvio",2,22,29,25,13.1844,359,2000,-2750
"Alfa Romeo","Stelvio AWD",6,19.5,25.5,21.5,15.54082237,415.833333333333,2325,-4375
"Aston Martin","DB11 V12",4,15,21.5,17.5,18.8502451,497,2825,-6875
"Aston Martin","DB11 V8",3,18,24,20,16.4805,431,2500,-5250
"Aston Martin","DB9",12,12.25,18.5833333333333,14.25,23.2316694125,623.7206044,3487.5,-10187.5
"Aston Martin","DBS",8,12.125,18.625,14.375,23.18402593625,624.9004120875,3481.25,-10156.25
"Aston Martin","DBS Coupe",2,11.5,17.5,13.5,24.449093405,659.20054945,3675,-11125
"Aston Martin","Rapide",3,13,19,15,21.974,592.4666667,3300,-9250
"Aston Martin","Rapide S",6,13.8333333333333,20.6666666666667,16.6666666666667,19.819686275,541.666666666667,2966.66666666667,-7583.33333333333
"Aston Martin","V12 Vantage",2,11,17,13,25.35461538,683.6153846,3800,-11750
"Aston Martin","V12 Vantage S",4,11.5,17.5,13.5,24.5245535725,649,3687.5,-11187.5
"Aston Martin","V8 Vantage",17,13.3529411764706,19.7647058823529,15.3529411764706,21.5123613447059,575.571848747059,3235.29411764706,-8926.47058823529
"Aston Martin","V8 Vantage S",10,13.6,20.2,15.6,21.149975,562.6875,3180,-8650
"Aston Martin","Vanquish",3,13,20.3333333333333,15.6666666666667,21.0584166666667,564.333333333333,3166.66666666667,-8583.33333333333
"Aston Martin","Vanquish S",1,13,21,16,20.600625,555,3100,-8250
"Aston Martin","Vanquish S Zagato",2,13,21,16,20.600625,555,3100,-8250
"Aston Martin","Vantage GT",4,13.5,20,15.5,21.2873125,564.5,3200,-8750
"Aston Martin","Vantage V8",2,18,24.5,20.5,16.088107145,435,2425,-4875
"Aston Martin","Virage",1,13,18,15,21.974,592.4666667,3300,-9250
"Audi","A3",21,24.3809523809524,32.6666666666667,27.3333333333333,12.6443018190476,340.06349207619,1726.19047619048,-1380.95238095238
"Audi","A3 Cabriolet",5,24.8,34.4,28.2,11.690600982,312.4,1460,-50
"Audi","A3 Cabriolet quattro",6,22.3333333333333,30.6666666666667,25.3333333333333,13.01536923,350,1641.66666666667,-958.333333333333
"Audi","A3 e-tron",3,33.3333333333333,37.3333333333333,35,5.811559666,155.333333333333,1416.66666666667,1333.33333333333
"Audi","A3 e-tron ultra",1,37,41,39,5.115502679,138,1250,2000
"Audi","A3 quattro",12,21.9166666666667,29.4166666666667,24.9166666666667,13.2970312841667,359.696428583333,1833.33333333333,-1916.66666666667
"Audi","A4",10,23.7,31.1,26.4,12.522899425,336.92476923,1885,-2175
"Audi","A4 allroad quattro",2,22.5,28.5,25,13.1844,352.5,2000,-2750
