Annual petroleum consumption in barrels for main fuel,Annual petroleum consumption in barrels for alternate fuel,Time to charge electric vehicle at 120 V,Time to charge electric vehicle at 240 V,City MGP for main fuel,City MPG for alternate fuel,City gas comsumption (gallons/100 miles) in charge depleting mode,City electricity consumption in kw-hrs/100 miles,EPA city utility factor for PHEV,Tailpipe CO2 in grams/mile for main fuel,Tailpipe CO2 in grams/mile for alternate fuel,Tailpipe CO2 in grams/mile for alternate fuel (2),Tailpipe CO2 in grams/mile for main fuel (2),Combined MPG for main fuel,Combined MPG for alternate fuel,Combined electricity consumption in kw-hrs/100 miles,Combined gas usage (gal/100 mi) in charge depleting mode,EPa combined utility factor for PHEV,EPA model type index,Engine description,EPA Fuel Economy Score,Annual fuel cost for main fuel,Annual fuel cost for alt fuel,Fuel type with main and alternate,"For dual vehicles, this will be conventional fuel",EPA GHG score,EPA GHG score on alt fuel,Highway MPG for main fuel,Highway MPG for alt fuel,highway gasoline consumption (gallons/100miles) in charge depleting mode,highway electricity consumption in kw-hrs/100 miles,EPA highway utility factor (share of electricity) for PHEV,make,model,Vehicle operates on gas / electric blend on low charge,City MPG for main fuel,City MPG for alt fuel,EPA Vehicle size class,Model year,Cost savings for gas over 5 years comapred to average car,"If G or T, this vehicle is subject to gas guzzler tax",Type of alt fuel or advanced tech vehicle,Alternate fuel type,Electric Motor,createdOn,modifiedOn,EPA composite gasoline-electricity city MPGe for plug-in hybrid vehicles,phevHwy,EPA composite gasoline-electricity combined city-highway MPGe for plug-in hybrid vehicles
25.35461538,0,0,0,11,0,0,0,0,-1,-1,0,683.6153846,13,0,0,0,0,0,,-1,3800,0,Premium,Premium Gasoline,-1,-1,17,0,0,0,0,Aston Martin,DBS Coupe,FALSE,13.7,0,Two Seaters,2009,-11750,G,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
13.73375,0,0,0,21,0,0,0,0,-1,-1,0,370.2916667,24,0,0,0,0,0,,-1,2050,0,Premium,Premium Gasoline,-1,-1,29,0,0,0,0,Audi,TT Roadster quattro,FALSE,27.1619,0,Two Seaters,2009,-3000,,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
18.31166667,0,0,0,15,0,0,0,0,-1,-1,0,493.7222222,18,0,0,0,0,0,,-1,2750,0,Premium,Premium Gasoline,-1,-1,25,0,0,0,0,Chevrolet,Corvette,FALSE,18.2499,0,Two Seaters,2009,-6500,,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
17.34789474,0,0,0,16,0,0,0,0,-1,-1,0,467.7368421,19,0,0,0,0,0,,-1,2600,0,Premium,Premium Gasoline,-1,-1,26,0,0,0,0,Chevrolet,Corvette,FALSE,20.2,0,Two Seaters,2009,-5750,,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
20.600625,0,0,0,13,0,0,0,0,-1,-1,0,555.4375,16,0,0,0,0,0,,-1,3100,0,Premium,Premium Gasoline,-1,-1,21,0,0,0,0,Mercedes-Benz,SL550,FALSE,16.5,0,Two Seaters,2009,-8250,G,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
23.54357143,0,0,0,11,0,0,0,0,-1,-1,0,634.7857143,14,0,0,0,0,0,,-1,3550,0,Premium,Premium Gasoline,-1,-1,18,0,0,0,0,Mercedes-Benz,SL600,FALSE,14.1,0,Two Seaters,2009,-10500,G,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
23.54357143,0,0,0,12,0,0,0,0,-1,-1,0,634.7857143,14,0,0,0,0,0,,-1,3550,0,Premium,Premium Gasoline,-1,-1,19,0,0,0,0,Mercedes-Benz,SL63 AMG,FALSE,14.6,0,Two Seaters,2009,-10500,G,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
23.54357143,0,0,0,11,0,0,0,0,-1,-1,0,634.7857143,14,0,0,0,0,0,,-1,3550,0,Premium,Premium Gasoline,-1,-1,18,0,0,0,0,Mercedes-Benz,SL65 AMG,FALSE,14.1,0,Two Seaters,2009,-10500,G,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
16.4805,0,0,0,17,0,0,0,0,-1,-1,0,444.35,20,0,0,0,0,0,,-1,2500,0,Premium,Premium Gasoline,-1,-1,26,0,0,0,0,Mercedes-Benz,SLK300,FALSE,21.9,0,Two Seaters,2009,-5250,,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
15.69571429,0,0,0,19,0,0,0,0,-1,-1,0,423.1904762,21,0,0,0,0,0,,-1,2350,0,Premium,Premium Gasoline,-1,-1,26,0,0,0,0,Mercedes-Benz,SLK300,FALSE,23.3,0,Two Seaters,2009,-4500,,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
15.69571429,0,0,0,18,0,0,0,0,-1,-1,0,423.1904762,21,0,0,0,0,0,,-1,2350,0,Premium,Premium Gasoline,-1,-1,26,0,0,0,0,Mercedes-Benz,SLK350,FALSE,22.2,0,Two Seaters,2009,-4500,,,,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
